source,section,raw_title,url
The Art Newspaper Russia,shows,"Выставки Рабиндранат и его арт: в «ГЭС-2» демонстрируют другую грань Тагора На выставке «Весь мир здесь обретает дом: по следам Тагора» представлено около сотни художественных работ прогрессивного индийского поэта и мыслителя. Но главным его шедевром оказывается педагогика, в которой многое созвучно современным арт-практикам 02.07.2026",https://www.theartnewspaper.ru/posts/20260702-ahvx
The Art Newspaper Russia,shows,"Выставки В Музее современного искусства «Гараж» новый вариант «Открытого хранения» Экспозиция «Искусство на частоте 1980-х» приглашает прочувствовать особое настроение эпохи, когда художники вдохновляли кинематографистов, музыканты — художников, а все вместе они образовали уникальную коммуникативную среду 01.07.2026",https://www.theartnewspaper.ru/posts/20260701-jigd
The Art Newspaper Russia,shows,"Выставки Бродский и Новиков встретились у Ахматовой В Санкт-Петербурге, в Музее Анны Ахматовой в Фонтанном доме, проходит выставка «Бродский — Новиков. Эскиз перспективы». Мемориальные вещи поэта сопоставлены с произведениями Тимура Новикова, основателя Новой академии 01.07.2026",https://www.theartnewspaper.ru/posts/20260701-auzy
The Art Newspaper Russia,shows,"Выставки Алексей Исупов: вятские корни и итальянские мотивы В Москве, в Доме русского зарубежья — выставка художника, который сумел покорить Италию. Как Алексею Исупову удавалось чувствовать себя своим в самых разных мирах — от русской глубинки до Венецианской биеннале? 01.07.2026",https://www.theartnewspaper.ru/posts/20260701-ujvs
The Art Newspaper Russia,shows,"Выставки Творческий кластер «Фабрика» пускает зрителей на крышу «Сон во время пробуждения» — второй выпуск проекта «Неистовый конец», знаменующего (очевидно) скорое закрытие и снос Центра творческих индустрий «Фабрика». И сон этот получился тревожным 30.06.2026",https://www.theartnewspaper.ru/posts/20260630-hnyi
The Art Newspaper Russia,shows,"Выставки Елизавета Званцева и ее пансион авангардных девиц Героиней новой выставки Музея русского импрессионизма стала женщина — дореволюционный успешный менеджер, которая смогла собрать великолепный коллектив преподавателей и вырастить два поколения людей, умевших ярко видеть 30.06.2026",https://www.theartnewspaper.ru/posts/20260630-oafr
The Art Newspaper Russia,shows,"Выставки «Евангелие от Титана»: художники-шестидесятники о людях и машинах Выставка «Евангелие от Титана» в фонде In artibus посвящена образу человека-машины в неофициальном искусстве 1960-х. Работы Вулоха, Зверева, Неизвестного и других авторов вступают в диалог с современными страхами вокруг биотехнологий и имплантов 30.06.2026",https://www.theartnewspaper.ru/posts/20260630-wjve
The Art Newspaper Russia,shows,"Крупным планом Учиться у Штиглица: как создать себе самый надежный памятник Эрмитаж открывает выставку, посвященную великому меценату Александру Людвиговичу Штиглицу, основателю Центрального училища технического рисования, отмечающего 150-­летие, и грандиозного музея при нем 29.06.2026",https://www.theartnewspaper.ru/posts/20260629-dlun
The Art Newspaper Russia,shows,"Выставки Путешествие из Реймса в Люберцы: судьба «Дамы с розовыми лентами» В музейно-выставочном комплексе подмосковного города показано приобретение 2014 года, недавно отреставрированное. Портрет французской дамы XIX века оказался в Люберцах не случайно — и это часть истории, рассказанной на выставке «Неизвестная Терез» 29.06.2026",https://www.theartnewspaper.ru/posts/20260629-ooqr
The Art Newspaper Russia,shows,"Выставки Хлеб всему голова, а также туловище, руки и ноги Три гигантские скульптуры Андрея Кузькина из хлебного мякиша восстановлены автором и вновь увидели свет в Санкт-Петербурге 22.06.2026",https://www.theartnewspaper.ru/posts/20260622-qslq
